source,ville,nom,note,prix,type,lien,localisation,latitude,longitude,description,categorie,interets,disponibilite,type_sejour,date_scraping,equipements
Booking.com,Tunis,Hotel Dar Ali,7.0,2039.0,Hôtel,https://www.booking.com/hotel/tn/dar-ali-tunis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AoeMv8IGwAIB0gIkNTcyZmMxYTYtZDZiOC00YmRmLTg1ZGQtNTU3NGVkNmQzMjAz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-26&checkout=2025-07-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=ht_id%3D204&srpvid=85cd33c3f2bf0045&srepoch=1750058504&all_sr_blocks=930809905_414270509_0_0_0&highlighted_blocks=930809905_414270509_0_0_0&matching_block_id=930809905_414270509_0_0_0&sr_pri_blocks=930809905_414270509_0_0_0__60282&from=searchresults,Tunis,36.8002068,10.1857757,Vous pouvez peut-être bénéficier dune réduction Genius dans létablissement Hotel Dar Ali Connectez-vous pour voir si une réduction Genius est disponible à vos dates Les réductions Genius proposées par cet établissement dépendent des dates de réservation des dates de séjour et des autres offres disponibles Létablissement Hotel Dar Ali vous accueille à Tunis à respectivement 15 km et 800 mètres de ces lieux dintérêt  Salammbo Tophet Archaeological Museum et Dar Ben Abdallah Museum Il propose des hébergements dotés de la climatisation et dune salle de bains privative Disposant dune connexion Wi-Fi gratuite cet hôtel est à respectivement 800 mètres et 1 km environ de  Théâtre municipal de Tunis et Dar Bach Hamba Vous profiterez dune bagagerie et dun service de change Vous bénéficierez dune salle de bains privative avec une douche et des articles de toilette gratuits Les hébergements comportent également une vue sur la ville Vous profiterez aussi dune télévision à écran plat avec les chaînes du satellite Parlant arabe anglais et français le personnel de la réception se fera un plaisir de vous aider à tout moment Vous séjournerez à proximité de ces lieux dintérêt  Bab El Bhar - Porte de France Place de la Victoire et Tourbet El Bey Laéroport le plus proche Aéroport de Tunis-Carthage est à 11 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,Culture,Oui,Court séjour,2025-06-16,
Booking.com,Tunis,Hotel Saint Georges Tunis,6.0,2073.0,Hôtel,https://www.booking.com/hotel/tn/saint-georges.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AoeMv8IGwAIB0gIkNTcyZmMxYTYtZDZiOC00YmRmLTg1ZGQtNTU3NGVkNmQzMjAz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-26&checkout=2025-07-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=ht_id%3D204&srpvid=85cd33c3f2bf0045&srepoch=1750058504&all_sr_blocks=17943402_344584368_2_0_0&highlighted_blocks=17943402_344584368_2_0_0&matching_block_id=17943402_344584368_2_0_0&sr_pri_blocks=17943402_344584368_2_0_0__61266&from=searchresults,Tunis,36.8002068,10.1857757,Lhôtel Saint Georges propose des hébergements simples et confortables à proximité de toutes les principales attractions de la capitale animée de Tunis Les chambres douillettes et fonctionnelles comprennent une salle de bains privative une table et une armoire En été elles sont climatisées Lhôtel Saint Georges Tunis dispose également dune salle de petit-déjeuner dun salon de télévision et dune terrasse où vous pourrez vous détendre avec une boisson Il abrite aussi un restaurant un bar et des magasins Pratique pour les personnes visitant la région en voiture le parking gratuit sur place est surveillé la nuit Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,Gastronomie,Oui,Court séjour,2025-06-16,
Booking.com,Tunis,Le Parisien Tunis,8.0,2612.0,Hôtel,https://www.booking.com/hotel/tn/le-parisien-tunis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AoeMv8IGwAIB0gIkNTcyZmMxYTYtZDZiOC00YmRmLTg1ZGQtNTU3NGVkNmQzMjAz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-26&checkout=2025-07-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=ht_id%3D204&srpvid=85cd33c3f2bf0045&srepoch=1750058504&all_sr_blocks=1323166803_408630920_0_0_0&highlighted_blocks=1323166803_408630920_0_0_0&matching_block_id=1323166803_408630920_0_0_0&sr_pri_blocks=1323166803_408630920_0_0_0__77207&from=searchresults,Tunis,36.8002068,10.1857757,Létablissement Le Parisien Tunis se situe à Tunis à 16 km de ce lieu dintérêt  Salammbo Tophet Archaeological Museum Il offre une vue sur la ville Cet hôtel 2 étoiles propose une connexion Wi-Fi gratuite et un restaurant Vous profiterez dune réception ouverte 24h24 et dun service de change Les hébergements sont dotés dune télévision à écran plat Vous profiterez dune salle de bains privative et de linge de lit Un petit-déjeuner continental est servi sur place Vous séjournerez à proximité de ces lieux dintérêt  Cathedral of St Vincent de Paul Bab El Bhar - Porte de France et Place de la Victoire Laéroport le plus proche Aéroport de Tunis-Carthage est à 10 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Culture,Gastronomie",Oui,Court séjour,2025-06-16,
Booking.com,Tunis,Hôtel le calife,7.0,2815.0,Hôtel,https://www.booking.com/hotel/tn/le-calife.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AoeMv8IGwAIB0gIkNTcyZmMxYTYtZDZiOC00YmRmLTg1ZGQtNTU3NGVkNmQzMjAz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-26&checkout=2025-07-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=ht_id%3D204&srpvid=85cd33c3f2bf0045&srepoch=1750058504&all_sr_blocks=413643401_278756311_0_0_0&highlighted_blocks=413643401_278756311_0_0_0&matching_block_id=413643401_278756311_0_0_0&sr_pri_blocks=413643401_278756311_0_0_0__83211&from=searchresults,Médina Tunis,36.7986935,10.1717399,Vous pouvez peut-être bénéficier dune réduction Genius dans létablissement Hôtel le calife Connectez-vous pour voir si une réduction Genius est disponible à vos dates Les réductions Genius proposées par cet établissement dépendent des dates de réservation des dates de séjour et des autres offres disponibles Létablissement Hôtel le calife bénéficie dun emplacement stratégique dans le quartier Médina de Tunis à respectivement 16 km 500 mètres et 500 mètres de ces lieux dintérêt  Salammbo Tophet Archaeological Museum Bab El Bhar - Porte de France et Place de la Victoire Cet hôtel 2 étoiles propose des hébergements dotés de la climatisation dune salle de bains privative et dune connexion Wi-Fi gratuite Les hébergements comportent un balcon offrant une vue sur la ville Tous les hébergements comprennent une armoire Vous profiterez dune télévision à écran plat et darticles de toilette gratuits Parlant arabe anglais et français le personnel de la réception se fera un plaisir de vous donner des conseils pratiques sur la région Vous séjournerez à proximité de ces lieux dintérêt  Sidi Mahrez Mosque Cathedral of St Vincent de Paul et Dar Lasram Museum Laéroport le plus proche Aéroport de Tunis-Carthage est à 10 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,Culture,Oui,Court séjour,2025-06-16,
Booking.com,Tunis,Hotel AL KARMEL,7.0,2986.0,Hôtel,https://www.booking.com/hotel/tn/al-karmel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AoeMv8IGwAIB0gIkNTcyZmMxYTYtZDZiOC00YmRmLTg1ZGQtNTU3NGVkNmQzMjAz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-26&checkout=2025-07-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=ht_id%3D204&srpvid=85cd33c3f2bf0045&srepoch=1750058504&all_sr_blocks=226503204_378646432_0_1_0&highlighted_blocks=226503204_378646432_0_1_0&matching_block_id=226503204_378646432_0_1_0&sr_pri_blocks=226503204_378646432_0_1_0__88255&from=searchresults,Tunis,36.8002068,10.1857757,LHotel AL KARMEL se situe à Tunis à 900 mètres de la mosquée Sidi Mahrez Toutes les chambres comprennent la climatisation et une télévision Leur salle de bains privative est pourvue dune baignoire LHotel AL KARMEL met à votre disposition une connexion Wi-Fi gratuite dans lensemble de ses locaux La réception est ouverte 24h24 LHotel AL KARMEL se trouve à 11 km du parc du Belvédère et à 12 km du musée Dar Lasram Laéroport de Tunis est implanté à 6 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Culture,Nature",Oui,Court séjour,2025-06-16,
Booking.com,Tunis,MONDIAL HOTEL,6.0,3197.0,Hôtel,https://www.booking.com/hotel/tn/mondial.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AoeMv8IGwAIB0gIkNTcyZmMxYTYtZDZiOC00YmRmLTg1ZGQtNTU3NGVkNmQzMjAz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-26&checkout=2025-07-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=ht_id%3D204&srpvid=85cd33c3f2bf0045&srepoch=1750058504&all_sr_blocks=592923303_385706991_0_2_0_174141&highlighted_blocks=592923303_385706991_0_2_0_174141&matching_block_id=592923303_385706991_0_2_0_174141&sr_pri_blocks=592923303_385706991_0_2_0_174141_94500&from=searchresults,Tunis,36.8002068,10.1857757,Létablissement MONDIAL HOTEL se trouve à Tunis à respectivement 18 km et 800 mètres de ces lieux dintérêt  Salammbo Tophet Archaeological Museum et Sidi Mahrez Mosque Cet hôtel 2 étoiles propose un restaurant ainsi que des hébergements dotés de la climatisation dune connexion Wi-Fi gratuite et dune salle de bains privative Vous pourrez profiter dun service détage dune réception ouverte 24h24 et dun service de change Vous profiterez dune télévision à écran plat et darticles de toilette gratuits Vous séjournerez à proximité de ces lieux dintérêt  Dar Lasram Museum Kasbah Square et Kasbah Mosque Laéroport le plus proche Aéroport de Tunis-Carthage est à 12 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Culture,Gastronomie",Oui,Court séjour,2025-06-16,
Booking.com,Tunis,Saheb Ettabaa Tunis,4.0,3197.0,Hôtel,https://www.booking.com/hotel/tn/saheb-ettabaa-tunis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AoeMv8IGwAIB0gIkNTcyZmMxYTYtZDZiOC00YmRmLTg1ZGQtNTU3NGVkNmQzMjAz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-26&checkout=2025-07-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=ht_id%3D204&srpvid=85cd33c3f2bf0045&srepoch=1750058504&all_sr_blocks=965649202_369543210_0_0_0&highlighted_blocks=965649202_369543210_0_0_0&matching_block_id=965649202_369543210_0_0_0&sr_pri_blocks=965649202_369543210_0_0_0__94500&from=searchresults,Tunis,36.8002068,10.1857757,Létablissement Saheb Ettabaa Tunis se situe à Tunis à respectivement 17 km et 1 km de ces lieux dintérêt  Salammbo Tophet Archaeological Museum et Sidi Mahrez Mosque Il possède un restaurant Cet hôtel 3 étoiles propose une terrasse ainsi que des hébergements dotés de la climatisation et dune salle de bains privative Cet hôtel vous accueille à respectivement 25 km et 25 km de  Kasbah Square et Parc du Belvédère Vous profiterez dune télévision à écran plat et darticles de toilette gratuits Le personnel de la réception ouverte 24h24 parle arabe anglais et français Vous séjournerez à proximité de ces lieux dintérêt  Dar Lasram Museum Kasbah Mosque et Médina Laéroport le plus proche Aéroport de Tunis-Carthage est à 11 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Culture,Nature,Gastronomie",Oui,Court séjour,2025-06-16,
Booking.com,Tunis,Hotel Transatlantique Tunis,6.0,3339.0,Hôtel,https://www.booking.com/hotel/tn/transatlantique-tunis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AoeMv8IGwAIB0gIkNTcyZmMxYTYtZDZiOC00YmRmLTg1ZGQtNTU3NGVkNmQzMjAz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-26&checkout=2025-07-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=ht_id%3D204&srpvid=85cd33c3f2bf0045&srepoch=1750058504&all_sr_blocks=1194355702_392587994_0_0_0&highlighted_blocks=1194355702_392587994_0_0_0&matching_block_id=1194355702_392587994_0_0_0&sr_pri_blocks=1194355702_392587994_0_0_0__98700&from=searchresults,Centre de Tunis Tunis,36.8009779,10.1847815,Proposant un restaurant létablissement Hotel Transatlantique Tunis se situe dans le centre de Tunis à 15 km de ce lieu dintérêt  Salammbo Tophet Archaeological Museum Cet hôtel 1 étoile propose une bagagerie Létablissement possède une réception ouverte 24h24 des transferts aéroport un service de concierge et une connexion Wi-Fi gratuite dans lensemble de ses locaux Vous séjournerez à proximité de ces lieux dintérêt  Théâtre municipal de Tunis Avenue Habib Bourguiba et Cathedral of St Vincent de Paul Laéroport le plus proche Aéroport de Tunis-Carthage est à 10 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Culture,Gastronomie",Oui,Court séjour,2025-06-16,
Booking.com,Tunis,Downtown Tunis Hotel,7.0,3563.0,Hôtel,https://www.booking.com/hotel/tn/downtown-tunis-tunis1.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AoeMv8IGwAIB0gIkNTcyZmMxYTYtZDZiOC00YmRmLTg1ZGQtNTU3NGVkNmQzMjAz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-26&checkout=2025-07-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=ht_id%3D204&srpvid=85cd33c3f2bf0045&srepoch=1750058504&all_sr_blocks=698751110_353889183_0_1_0&highlighted_blocks=698751110_353889183_0_1_0&matching_block_id=698751110_353889183_0_1_0&sr_pri_blocks=698751110_353889183_0_1_0__105315&from=searchresults,Tunis,36.8002068,10.1857757,Létablissement Downtown Tunis Hotel se situe à Tunis à 15 km de ce lieu dintérêt  Salammbo Tophet Archaeological Museum Il possède un salon commun une terrasse et un parking privé gratuit Cet hôtel 2 étoiles propose un centre daffaires et un service de concierge Létablissement comprend une réception ouverte 24h24 des transferts aéroport un service détage et une connexion Wi-Fi gratuite dans lensemble de ses locaux Tous les hébergements proposent une armoire Vous profiterez de la climatisation et dune télévision à écran plat Un petit-déjeuner buffet est servi sur place Vous séjournerez à respectivement 11 km et 26 km de ces lieux dintérêt  Parc du Belvédère et Cathedral of St Vincent de Paul Laéroport le plus proche Aéroport de Tunis-Carthage est à 8 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Culture,Nature",Oui,Court séjour,2025-06-16,
Booking.com,Tunis,Ariha Hotel,7.0,3605.0,Hôtel,https://www.booking.com/hotel/tn/ariha.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AoeMv8IGwAIB0gIkNTcyZmMxYTYtZDZiOC00YmRmLTg1ZGQtNTU3NGVkNmQzMjAz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-26&checkout=2025-07-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=ht_id%3D204&srpvid=85cd33c3f2bf0045&srepoch=1750058504&all_sr_blocks=17949305_406382866_2_1_0&highlighted_blocks=17949305_406382866_2_1_0&matching_block_id=17949305_406382866_2_1_0&sr_pri_blocks=17949305_406382866_2_1_0__106569&from=searchresults,Tunis,36.8002068,10.1857757,Situé dans un quartier résidentiel à 10 minutes du centre daffaires de Tunis lhôtel Ariha est idéal pour les séjours daffaires mais également pour les touristes Lhôtel dispose de 46 chambres simples doubles et triples Toutes les chambres sont équipées de la climatisation dune télévision dun téléphone et dune salle de bain Lhôtel possède une salle pour les petits déjeuners un salon de thé ainsi quun parking souterrain Lhôtel se situe à 15 minutes de laéroport international de Tunis-Carthage Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,Autre,Oui,Court séjour,2025-06-16,
